"arms";"jacc_quantile";"turn_quantile";"nest_quantile";"bray_quantile";"nest";"nest_numeric"
"260";"CINA1C";"52.5%";"52.5%";"32.5%";"5%";"32.5%";14
"261";"CINA1C";"52.5%";"52.5%";"32.5%";"15%";"32.5%";14
"262";"CINA1C";"85%";"85%";"50%";"15%";"50%";21
"263";"CINA1C";"75%";"85%";"22.5%";"7.5%";"22.5%";10
"264";"CINA1C";"52.5%";"52.5%";"32.5%";"12.5%";"32.5%";14
"265";"CINA1C";"35%";"52.5%";"0%";"20%";"0%";1
"266";"CINA1C";"7.5%";"20%";"0%";"2.5%";"0%";1
"267";"CINA1C";"25%";"30%";"50%";"30%";"50%";21
"268";"CINA1C";"70%";"52.5%";"55%";"15%";"55%";23
"269";"CINA1C";"80%";"90%";"0%";"7.5%";"0%";1
"270";"CINA1C";"15%";"20%";"45%";"15%";"45%";19
"271";"CINA1C";"35%";"52.5%";"0%";"30%";"0%";1
"272";"CINA1C";"25%";"30%";"50%";"10%";"50%";21
"273";"CINA1C";"12.5%";"0%";"95%";"12.5%";"95%";39
"274";"CINA1C";"35%";"52.5%";"0%";"15%";"0%";1
"275";"CINA1C";"52.5%";"52.5%";"32.5%";"12.5%";"32.5%";14
"276";"CINA1C";"25%";"30%";"50%";"15%";"50%";21
"277";"CINA1C";"12.5%";"0%";"95%";"2.5%";"95%";39
"278";"CINA1C";"70%";"52.5%";"55%";"25%";"55%";23
"279";"CINA1C";"15%";"20%";"45%";"10%";"45%";19
"280";"CINA1C";"27.5%";"7.5%";"100%";"15%";"100%";41
"281";"CINA1C";"15%";"7.5%";"95%";"7.5%";"95%";39
"282";"CINA1C";"25%";"30%";"50%";"10%";"50%";21
"283";"CINA1C";"32.5%";"45%";"30%";"7.5%";"30%";13
"284";"CINA1C";"12.5%";"0%";"95%";"5%";"95%";39
"285";"CINA1C";"47.5%";"45%";"57.5%";"7.5%";"57.5%";24
"286";"CINA1C";"90%";"90%";"45%";"15%";"45%";19
"287";"CINA1C";"35%";"45%";"30%";"7.5%";"30%";13
"288";"CINA1C";"52.5%";"52.5%";"32.5%";"7.5%";"32.5%";14
"289";"CINA2A";"40%";"52.5%";"35%";"10%";"35%";15
"290";"CINA2A";"5%";"5%";"82.5%";"7.5%";"82.5%";34
"291";"CINA2A";"10%";"7.5%";"95%";"5%";"95%";39
"292";"CINA2A";"27.5%";"37.5%";"47.5%";"20%";"47.5%";20
"293";"CINA2A";"5%";"12.5%";"0%";"5%";"0%";1
"294";"CINA2A";"5%";"5%";"82.5%";"7.5%";"82.5%";34
"295";"CINA2A";"17.5%";"12.5%";"85%";"10%";"85%";35
"296";"CINA2A";"5%";"12.5%";"0%";"12.5%";"0%";1
"297";"CINA2A";"12.5%";"32.5%";"0%";"12.5%";"0%";1
"298";"CINA2A";"7.5%";"12.5%";"67.5%";"12.5%";"67.5%";28
"299";"CINA2A";"5%";"12.5%";"0%";"10%";"0%";1
"300";"CINA2A";"12.5%";"32.5%";"0%";"12.5%";"0%";1
"301";"CINA2A";"65%";"40%";"70%";"37.5%";"70%";29
"302";"CINA2A";"55%";"25%";"90%";"7.5%";"90%";37
"303";"CINA2A";"17.5%";"32.5%";"45%";"2.5%";"45%";19
"304";"CINA2A";"40%";"52.5%";"35%";"20%";"35%";15
"305";"CINA2A";"27.5%";"20%";"80%";"20%";"80%";33
"306";"CINA2A";"62.5%";"77.5%";"0%";"7.5%";"0%";1
"307";"CINA2A";"17.5%";"32.5%";"45%";"57.5%";"45%";19
"308";"CINA2A";"82.5%";"80%";"25%";"2.5%";"25%";11
"309";"CINA2A";"27.5%";"40%";"0%";"52.5%";"0%";1
"310";"CINA2A";"82.5%";"80%";"25%";"45%";"25%";11
"311";"CINA2A";"82.5%";"80%";"25%";"7.5%";"25%";11
"312";"CINA2A";"5%";"7.5%";"67.5%";"2.5%";"67.5%";28
"313";"CINA2A";"5%";"5%";"82.5%";"10%";"82.5%";34
"314";"CINA2A";"37.5%";"40%";"45%";"32.5%";"45%";19
"315";"CINA2A";"5%";"20%";"0%";"2.5%";"0%";1
"316";"CINA2A";"27.5%";"20%";"80%";"5%";"80%";33
"317";"CINA2A";"90%";"40%";"85%";"50%";"85%";35
"318";"CINA2A";"55%";"40%";"57.5%";"12.5%";"57.5%";24
"319";"CINA2A";"7.5%";"5%";"92.5%";"7.5%";"92.5%";38
"320";"CINA2A";"30%";"20%";"92.5%";"32.5%";"92.5%";38
"321";"CINA2A";"55%";"40%";"57.5%";"22.5%";"57.5%";24
"322";"CINA2A";"10%";"7.5%";"95%";"12.5%";"95%";39
"323";"CINA2A";"5%";"7.5%";"85%";"10%";"85%";35
"324";"CINA2A";"5%";"0%";"100%";"2.5%";"100%";41
"325";"CINA2A";"55%";"25%";"90%";"5%";"90%";37
"326";"CINA2A";"40%";"7.5%";"100%";"20%";"100%";41
"327";"CINA2A";"5%";"0%";"100%";"10%";"100%";41
"328";"CINA2A";"5%";"0%";"100%";"20%";"100%";41
"329";"CINA2A";"7.5%";"0%";"100%";"12.5%";"100%";41
"330";"CINA2A";"37.5%";"25%";"82.5%";"10%";"82.5%";34
"331";"CINA2A";"27.5%";"37.5%";"47.5%";"7.5%";"47.5%";20
"332";"CINA2A";"5%";"12.5%";"0%";"5%";"0%";1
"333";"CINA2A";"5%";"5%";"82.5%";"12.5%";"82.5%";34
"334";"CINA2A";"17.5%";"12.5%";"85%";"2.5%";"85%";35
"335";"CINA2A";"5%";"12.5%";"0%";"10%";"0%";1
"336";"CINA2A";"30%";"52.5%";"0%";"2.5%";"0%";1
"337";"CINA2A";"27.5%";"32.5%";"62.5%";"2.5%";"62.5%";26
"338";"CINA2A";"5%";"12.5%";"0%";"7.5%";"0%";1
"339";"CINA2A";"30%";"52.5%";"0%";"7.5%";"0%";1
"340";"CINA2A";"7.5%";"20%";"52.5%";"5%";"52.5%";22
"341";"CINA2A";"5%";"5%";"65%";"10%";"65%";27
"342";"CINA2A";"30%";"37.5%";"62.5%";"7.5%";"62.5%";26
"343";"CINA2A";"7.5%";"20%";"52.5%";"52.5%";"52.5%";22
"344";"CINA2A";"7.5%";"20%";"52.5%";"10%";"52.5%";22
