"arms";"jacc_quantile";"turn_quantile";"nest_quantile";"bray_quantile";"nest";"nest_numeric"
"1137";"CINA4C";"15%";"37.5%";"37.5%";"15%";"37.5%";16
"1138";"CINA4C";"75%";"87.5%";"0%";"17.5%";"0%";1
"1139";"CINA4C";"2.5%";"15%";"0%";"5%";"0%";1
"1140";"CINA4C";"50%";"65%";"0%";"5%";"0%";1
"1141";"CINA4C";"82.5%";"90%";"0%";"7.5%";"0%";1
"1142";"CINA4C";"42.5%";"7.5%";"95%";"20%";"95%";39
"1143";"CINA4C";"65%";"65%";"27.5%";"15%";"27.5%";12
"1144";"CINA4C";"82.5%";"90%";"0%";"15%";"0%";1
"1145";"CINA4C";"82.5%";"42.5%";"90%";"12.5%";"90%";37
"1146";"CINA4C";"65%";"65%";"27.5%";"7.5%";"27.5%";12
"1147";"CINA4C";"42.5%";"7.5%";"95%";"7.5%";"95%";39
"1148";"CINA4C";"87.5%";"90%";"22.5%";"20%";"22.5%";10
"1149";"CINA4C";"87.5%";"90%";"22.5%";"20%";"22.5%";10
"1150";"CINA4C";"90%";"42.5%";"90%";"20%";"90%";37
"1151";"CINA4C";"60%";"7.5%";"100%";"27.5%";"100%";41
"1152";"CINA4C";"10%";"32.5%";"0%";"7.5%";"0%";1
"1153";"RUNA2A";"45%";"32.5%";"80%";"7.5%";"80%";33
"1154";"RUNA2A";"20%";"0%";"95%";"5%";"95%";39
"1155";"RUNA2A";"75%";"32.5%";"82.5%";"12.5%";"82.5%";34
"1156";"RUNA2A";"42.5%";"0%";"95%";"7.5%";"95%";39
"1157";"RUNA2A";"75%";"0%";"100%";"5%";"100%";41
"1158";"RUNA2A";"87.5%";"32.5%";"90%";"12.5%";"90%";37
"1159";"RUNA2A";"57.5%";"32.5%";"82.5%";"10%";"82.5%";34
"1160";"RUNA2A";"82.5%";"32.5%";"87.5%";"5%";"87.5%";36
"1161";"RUNA2A";"82.5%";"0%";"100%";"12.5%";"100%";41
"1162";"RUNA2A";"87.5%";"32.5%";"90%";"7.5%";"90%";37
"1163";"RUNA2A";"52.5%";"0%";"97.5%";"5%";"97.5%";40
"1164";"RUNA2A";"65%";"0%";"97.5%";"15%";"97.5%";40
"1165";"RUNA2A";"52.5%";"70%";"27.5%";"15%";"27.5%";12
"1166";"RUNA2A";"65%";"70%";"40%";"7.5%";"40%";17
"1167";"RUNA2A";"17.5%";"17.5%";"72.5%";"15%";"72.5%";30
"1168";"RUNA2A";"70%";"40%";"80%";"12.5%";"80%";33
"1169";"RUNA2A";"50%";"40%";"70%";"10%";"70%";29
"1170";"RUNA2A";"42.5%";"70%";"0%";"15%";"0%";1
"1171";"RUNA2A";"92.5%";"90%";"40%";"30%";"40%";17
"1172";"RUNA2A";"80%";"40%";"82.5%";"12.5%";"82.5%";34
"1173";"RUNA2A";"15%";"40%";"0%";"7.5%";"0%";1
"1174";"RUNA2A";"82.5%";"70%";"57.5%";"10%";"57.5%";24
"1175";"RUNA2A";"57.5%";"40%";"75%";"20%";"75%";31
"1176";"RUNA2A";"92.5%";"95%";"12.5%";"25%";"12.5%";6
"1177";"RUNA2A";"50%";"60%";"42.5%";"5%";"42.5%";18
"1178";"RUNA2A";"82.5%";"82.5%";"32.5%";"25%";"32.5%";14
"1179";"RUNA2A";"95%";"95%";"32.5%";"25%";"32.5%";14
"1180";"RUNA2A";"52.5%";"70%";"27.5%";"5%";"27.5%";12
"1181";"RUNA2A";"87.5%";"95%";"0%";"25%";"0%";1
"1182";"RUNA2A";"92.5%";"82.5%";"57.5%";"22.5%";"57.5%";24
"1183";"RUNA2A";"52.5%";"70%";"27.5%";"15%";"27.5%";12
"1184";"RUNA2A";"95%";"95%";"37.5%";"22.5%";"37.5%";16
"1185";"RUNA2A";"87.5%";"82.5%";"47.5%";"25%";"47.5%";20
"1186";"RUNA2A";"57.5%";"80%";"17.5%";"25%";"17.5%";8
"1187";"RUNA2A";"30%";"52.5%";"30%";"15%";"30%";13
"1188";"RUNA2A";"15%";"17.5%";"80%";"12.5%";"80%";33
"1189";"RUNA2A";"65%";"70%";"40%";"27.5%";"40%";17
"1190";"RUNA2A";"2.5%";"17.5%";"45%";"7.5%";"45%";19
"1191";"RUNA2A";"95%";"95%";"10%";"35%";"10%";5
"1192";"RUNA2A";"30%";"40%";"52.5%";"10%";"52.5%";22
"1193";"RUNA2A";"7.5%";"17.5%";"72.5%";"5%";"72.5%";30
"1194";"RUNA2A";"20%";"32.5%";"47.5%";"5%";"47.5%";20
"1195";"RUNA2A";"37.5%";"70%";"0%";"12.5%";"0%";1
"1196";"RUNA2A";"35%";"50%";"55%";"5%";"55%";23
"1197";"RUNA2A";"45%";"70%";"20%";"15%";"20%";9
"1198";"RUNA2A";"50%";"60%";"42.5%";"20%";"42.5%";18
"1199";"RUNA2A";"70%";"87.5%";"0%";"5%";"0%";1
"1200";"RUNA2A";"45%";"50%";"62.5%";"12.5%";"62.5%";26
"1201";"RUNA2A";"82.5%";"87.5%";"32.5%";"15%";"32.5%";14
"1202";"RUNA2A";"45%";"70%";"20%";"10%";"20%";9
"1203";"RUNA2A";"30%";"50%";"42.5%";"7.5%";"42.5%";18
"1204";"RUNA2A";"62.5%";"70%";"45%";"15%";"45%";19
"1205";"RUNA2A";"80%";"87.5%";"12.5%";"10%";"12.5%";6
"1206";"RUNA2A";"42.5%";"40%";"65%";"15%";"65%";27
"1207";"RUNA2A";"87.5%";"92.5%";"0%";"22.5%";"0%";1
"1208";"RUNA2A";"45%";"50%";"62.5%";"12.5%";"62.5%";26
"1209";"RUNA2A";"17.5%";"17.5%";"72.5%";"7.5%";"72.5%";30
"1210";"RUNA2A";"80%";"87.5%";"12.5%";"15%";"12.5%";6
"1211";"RUNA2A";"30%";"50%";"42.5%";"10%";"42.5%";18
"1212";"RUNA2A";"7.5%";"27.5%";"47.5%";"10%";"47.5%";20
"1213";"RUNA2A";"70%";"40%";"80%";"5%";"80%";33
"1214";"RUNA2A";"27.5%";"17.5%";"82.5%";"12.5%";"82.5%";34
"1215";"RUNA2A";"15%";"35%";"25%";"7.5%";"25%";11
"1216";"RUNA2A";"20%";"0%";"95%";"7.5%";"95%";39
"1217";"RUNA2A";"52.5%";"77.5%";"15%";"12.5%";"15%";7
"1218";"RUNA2A";"17.5%";"37.5%";"27.5%";"12.5%";"27.5%";12
"1219";"RUNA2A";"82.5%";"70%";"57.5%";"17.5%";"57.5%";24
"1220";"RUNA2A";"30%";"35%";"65%";"12.5%";"65%";27
"1221";"RUNA2A";"90%";"92.5%";"10%";"25%";"10%";5
"1222";"RUNA2A";"22.5%";"17.5%";"80%";"7.5%";"80%";33
"1223";"RUNA2A";"62.5%";"82.5%";"15%";"5%";"15%";7
"1224";"RUNA2A";"57.5%";"82.5%";"0%";"10%";"0%";1
"1225";"RUNA2A";"52.5%";"70%";"27.5%";"25%";"27.5%";12
"1226";"RUNA2A";"75%";"70%";"47.5%";"5%";"47.5%";20
"1227";"RUNA2A";"80%";"40%";"82.5%";"17.5%";"82.5%";34
"1228";"RUNA2A";"87.5%";"70%";"65%";"15%";"65%";27
"1229";"RUNA2A";"82.5%";"70%";"57.5%";"12.5%";"57.5%";24
"1230";"RUNA2A";"57.5%";"40%";"75%";"15%";"75%";31
"1231";"RUNA2A";"82.5%";"82.5%";"32.5%";"30%";"32.5%";14
"1232";"RUNA2A";"15%";"0%";"95%";"7.5%";"95%";39
"1233";"RUNA2A";"22.5%";"40%";"37.5%";"7.5%";"37.5%";16
"1234";"RUNA2A";"30%";"35%";"65%";"7.5%";"65%";27
"1235";"RUNA2A";"7.5%";"0%";"85%";"10%";"85%";35
"1236";"RUNA2A";"87.5%";"87.5%";"45%";"25%";"45%";19
"1237";"RUNA2A";"42.5%";"40%";"65%";"15%";"65%";27
"1238";"RUNA2A";"95%";"97.5%";"12.5%";"25%";"12.5%";6
"1239";"RUNA2A";"82.5%";"87.5%";"32.5%";"17.5%";"32.5%";14
"1240";"RUNA2A";"27.5%";"0%";"95%";"7.5%";"95%";39
"1241";"RUNA2A";"35%";"57.5%";"37.5%";"5%";"37.5%";16
"1242";"RUNA2A";"30%";"40%";"52.5%";"7.5%";"52.5%";22
"1243";"RUNA2A";"57.5%";"40%";"75%";"5%";"75%";31
"1244";"RUNA2A";"82.5%";"70%";"57.5%";"10%";"57.5%";24
"1245";"RUNA2A";"12.5%";"0%";"92.5%";"7.5%";"92.5%";38
"1246";"RUNA2A";"62.5%";"82.5%";"15%";"7.5%";"15%";7
"1247";"RUNA2A";"45%";"77.5%";"0%";"10%";"0%";1
"1248";"RUNA2A";"35%";"60%";"20%";"12.5%";"20%";9
"1249";"RUNA2B";"45%";"35%";"65%";"7.5%";"65%";27
"1250";"RUNA2B";"45%";"35%";"65%";"7.5%";"65%";27
"1251";"RUNA2B";"87.5%";"67.5%";"57.5%";"7.5%";"57.5%";24
"1252";"RUNA2B";"62.5%";"35%";"85%";"5%";"85%";35
"1253";"RUNA2B";"7.5%";"0%";"100%";"2.5%";"100%";41
"1254";"RUNA2B";"92.5%";"67.5%";"70%";"22.5%";"70%";29
"1255";"RUNA2B";"77.5%";"67.5%";"45%";"12.5%";"45%";19
"1256";"RUNA2B";"45%";"35%";"65%";"2.5%";"65%";27
"1257";"RUNA2B";"37.5%";"15%";"97.5%";"5%";"97.5%";40
"1258";"RUNA2B";"45%";"35%";"65%";"15%";"65%";27
"1259";"RUNA2B";"57.5%";"15%";"100%";"2.5%";"100%";41
"1260";"RUNA2B";"55%";"35%";"80%";"15%";"80%";33
"1261";"RUNA2B";"62.5%";"80%";"0%";"10%";"0%";1
"1262";"RUNA2B";"70%";"80%";"20%";"2.5%";"20%";9
"1263";"RUNA2B";"45%";"35%";"65%";"5%";"65%";27
"1264";"RUNA2B";"77.5%";"80%";"37.5%";"15%";"37.5%";16
"1265";"RUNA2B";"77.5%";"80%";"37.5%";"7.5%";"37.5%";16
"1266";"RUNA2B";"62.5%";"80%";"0%";"7.5%";"0%";1
"1267";"RUNA2B";"25%";"45%";"0%";"7.5%";"0%";1
"1268";"RUNA2B";"25%";"20%";"77.5%";"2.5%";"77.5%";32
"1269";"RUNA2B";"55%";"62.5%";"27.5%";"7.5%";"27.5%";12
"1270";"RUNA2B";"47.5%";"20%";"92.5%";"5%";"92.5%";38
"1271";"RUNA2B";"70%";"80%";"20%";"5%";"20%";9
"1272";"RUNA2B";"70%";"80%";"20%";"12.5%";"20%";9
"1273";"RUNA2B";"45%";"35%";"65%";"5%";"65%";27
"1274";"RUNA2B";"50%";"45%";"50%";"22.5%";"50%";21
"1275";"RUNA2B";"50%";"45%";"50%";"22.5%";"50%";21
"1276";"RUNA2B";"7.5%";"20%";"0%";"5%";"0%";1
"1277";"RUNA2B";"62.5%";"80%";"0%";"22.5%";"0%";1
"1278";"RUNA2B";"10%";"5%";"87.5%";"5%";"87.5%";36
"1279";"RUNA2B";"20%";"30%";"42.5%";"5%";"42.5%";18
"1280";"RUNA2B";"25%";"45%";"0%";"5%";"0%";1
"1281";"RUNA2B";"15%";"20%";"40%";"10%";"40%";17
"1282";"RUNA2B";"87.5%";"67.5%";"57.5%";"5%";"57.5%";24
"1283";"RUNA2B";"25%";"45%";"30%";"2.5%";"30%";13
"1284";"RUNA2B";"25%";"45%";"30%";"10%";"30%";13
"1285";"RUNA2B";"70%";"80%";"20%";"5%";"20%";9
"1286";"RUNA2B";"37.5%";"45%";"30%";"5%";"30%";13
"1287";"RUNA2B";"70%";"80%";"20%";"15%";"20%";9
"1288";"RUNA2B";"62.5%";"62.5%";"50%";"7.5%";"50%";21
"1289";"RUNA2B";"37.5%";"45%";"30%";"5%";"30%";13
"1290";"RUNA2B";"57.5%";"45%";"72.5%";"5%";"72.5%";30
"1291";"RUNA2B";"92.5%";"67.5%";"70%";"17.5%";"70%";29
"1292";"RUNA2B";"25%";"15%";"95%";"2.5%";"95%";39
"1293";"RUNA2B";"25%";"15%";"95%";"20%";"95%";39
"1294";"RUNA2B";"45%";"35%";"65%";"10%";"65%";27
"1295";"RUNA2B";"12.5%";"15%";"85%";"2.5%";"85%";35
"1296";"RUNA2B";"37.5%";"15%";"97.5%";"5%";"97.5%";40
"1297";"RUNA2B";"77.5%";"67.5%";"45%";"17.5%";"45%";19
"1298";"RUNA2B";"57.5%";"15%";"100%";"2.5%";"100%";41
"1299";"RUNA2B";"87.5%";"67.5%";"57.5%";"22.5%";"57.5%";24
"1300";"RUNA2B";"70%";"92.5%";"0%";"17.5%";"0%";1
"1301";"RUNA2B";"35%";"60%";"0%";"10%";"0%";1
"1302";"RUNA2B";"50%";"45%";"50%";"7.5%";"50%";21
"1303";"RUNA2B";"50%";"45%";"50%";"10%";"50%";21
"1304";"RUNA2B";"5%";"17.5%";"37.5%";"5%";"37.5%";16
"1305";"RUNA2B";"37.5%";"30%";"80%";"20%";"80%";33
"1306";"RUNA2B";"17.5%";"17.5%";"75%";"5%";"75%";31
"1307";"RUNA2B";"25%";"45%";"30%";"5%";"30%";13
"1308";"RUNA2B";"35%";"60%";"0%";"15%";"0%";1
"1309";"RUNA2B";"50%";"45%";"50%";"5%";"50%";21
"1310";"RUNA2B";"50%";"45%";"50%";"10%";"50%";21
"1311";"RUNA2B";"5%";"17.5%";"37.5%";"5%";"37.5%";16
"1312";"RUNA2B";"70%";"62.5%";"60%";"5%";"60%";25
"1313";"RUNA2B";"50%";"45%";"50%";"20%";"50%";21
"1314";"RUNA2B";"25%";"45%";"30%";"17.5%";"30%";13
"1315";"RUNA2B";"77.5%";"80%";"37.5%";"20%";"37.5%";16
"1316";"RUNA2B";"20%";"20%";"62.5%";"12.5%";"62.5%";26
"1317";"RUNA2B";"50%";"45%";"50%";"22.5%";"50%";21
"1318";"RUNA2B";"70%";"62.5%";"60%";"30%";"60%";25
"1319";"RUNA2B";"50%";"45%";"50%";"7.5%";"50%";21
"1320";"RUNA2B";"35%";"32.5%";"65%";"5%";"65%";27
"1321";"RUNA2B";"62.5%";"80%";"0%";"15%";"0%";1
"1322";"RUNA2B";"62.5%";"80%";"0%";"2.5%";"0%";1
"1323";"RUNA2B";"25%";"20%";"77.5%";"5%";"77.5%";32
"1324";"RUNA2B";"25%";"45%";"0%";"15%";"0%";1
"1325";"RUNA2B";"75%";"45%";"82.5%";"2.5%";"82.5%";34
"1326";"RUNA2B";"15%";"20%";"40%";"10%";"40%";17
"1327";"RUNA2B";"7.5%";"20%";"0%";"15%";"0%";1
"1328";"RUNA2B";"10%";"5%";"87.5%";"5%";"87.5%";36
"1329";"RUNA2B";"87.5%";"95%";"20%";"22.5%";"20%";9
"1330";"RUNA2B";"47.5%";"20%";"92.5%";"5%";"92.5%";38
"1331";"RUNA2B";"70%";"80%";"20%";"7.5%";"20%";9
"1332";"RUNA2B";"10%";"5%";"87.5%";"7.5%";"87.5%";36
"1333";"RUNA2B";"87.5%";"95%";"20%";"2.5%";"20%";9
"1334";"RUNA2B";"92.5%";"95%";"0%";"32.5%";"0%";1
"1335";"RUNA2B";"70%";"80%";"20%";"27.5%";"20%";9
"1336";"RUNA2B";"20%";"10%";"92.5%";"10%";"92.5%";38
"1337";"RUNA2B";"10%";"5%";"87.5%";"2.5%";"87.5%";36
"1338";"RUNA2B";"2.5%";"2.5%";"70%";"2.5%";"70%";29
"1339";"RUNA2B";"2.5%";"10%";"57.5%";"20%";"57.5%";24
"1340";"RUNA2B";"35%";"10%";"97.5%";"5%";"97.5%";40
"1341";"RUNA2B";"7.5%";"10%";"82.5%";"17.5%";"82.5%";34
"1342";"RUNA2B";"25%";"5%";"97.5%";"5%";"97.5%";40
"1343";"RUNA2B";"2.5%";"5%";"57.5%";"2.5%";"57.5%";24
"1344";"RUNA2B";"25%";"20%";"85%";"5%";"85%";35
"1345";"RUNA2C";"37.5%";"32.5%";"70%";"17.5%";"70%";29
"1346";"RUNA2C";"15%";"32.5%";"45%";"2.5%";"45%";19
"1347";"RUNA2C";"35%";"5%";"97.5%";"10%";"97.5%";40
"1348";"RUNA2C";"35%";"5%";"97.5%";"27.5%";"97.5%";40
"1349";"RUNA2C";"52.5%";"32.5%";"87.5%";"17.5%";"87.5%";36
"1350";"RUNA2C";"15%";"5%";"97.5%";"15%";"97.5%";40
"1351";"RUNA2C";"90%";"70%";"72.5%";"20%";"72.5%";30
"1352";"RUNA2C";"27.5%";"0%";"100%";"2.5%";"100%";41
"1353";"RUNA2C";"15%";"5%";"97.5%";"2.5%";"97.5%";40
"1354";"RUNA2C";"35%";"5%";"97.5%";"20%";"97.5%";40
"1355";"RUNA2C";"37.5%";"32.5%";"70%";"2.5%";"70%";29
"1356";"RUNA2C";"35%";"5%";"97.5%";"20%";"97.5%";40
"1357";"RUNA2C";"7.5%";"20%";"40%";"20%";"40%";17
"1358";"RUNA2C";"2.5%";"5%";"90%";"2.5%";"90%";37
"1359";"RUNA2C";"62.5%";"75%";"0%";"42.5%";"0%";1
"1360";"RUNA2C";"35%";"40%";"35%";"17.5%";"35%";15
"1361";"RUNA2C";"2.5%";"5%";"77.5%";"10%";"77.5%";32
"1362";"RUNA2C";"2.5%";"0%";"100%";"25%";"100%";41
"1363";"RUNA2C";"52.5%";"10%";"95%";"30%";"95%";39
"1364";"RUNA2C";"2.5%";"5%";"77.5%";"7.5%";"77.5%";32
"1365";"RUNA2C";"77.5%";"75%";"35%";"15%";"35%";15
"1366";"RUNA2C";"15%";"40%";"0%";"20%";"0%";1
"1367";"RUNA2C";"2.5%";"5%";"90%";"10%";"90%";37
"1368";"RUNA2C";"45%";"20%";"90%";"10%";"90%";37
"1369";"RUNA2C";"90%";"90%";"22.5%";"10%";"22.5%";10
"1370";"RUNA2C";"7.5%";"5%";"95%";"32.5%";"95%";39
"1371";"RUNA2C";"35%";"20%";"85%";"27.5%";"85%";35
"1372";"RUNA2C";"27.5%";"5%";"100%";"2.5%";"100%";41
"1373";"RUNA2C";"67.5%";"62.5%";"62.5%";"20%";"62.5%";26
"1374";"RUNA2C";"7.5%";"5%";"90%";"12.5%";"90%";37
"1375";"RUNA2C";"67.5%";"62.5%";"62.5%";"12.5%";"62.5%";26
"1376";"RUNA2C";"77.5%";"62.5%";"72.5%";"20%";"72.5%";30
"1377";"RUNA2C";"7.5%";"5%";"95%";"30%";"95%";39
"1378";"RUNA2C";"57.5%";"40%";"67.5%";"30%";"67.5%";28
"1379";"RUNA2C";"2.5%";"7.5%";"0%";"12.5%";"0%";1
"1380";"RUNA2C";"27.5%";"35%";"52.5%";"10%";"52.5%";22
"1381";"RUNA2C";"2.5%";"2.5%";"72.5%";"12.5%";"72.5%";30
"1382";"RUNA2C";"45%";"57.5%";"25%";"7.5%";"25%";11
"1383";"RUNA2C";"52.5%";"40%";"60%";"12.5%";"60%";25
"1384";"RUNA2C";"45%";"57.5%";"25%";"7.5%";"25%";11
"1385";"RUNA2C";"15%";"40%";"0%";"2.5%";"0%";1
"1386";"RUNA2C";"2.5%";"5%";"90%";"2.5%";"90%";37
"1387";"RUNA2C";"57.5%";"40%";"67.5%";"30%";"67.5%";28
"1388";"RUNA2C";"67.5%";"75%";"25%";"27.5%";"25%";11
"1389";"RUNA2C";"45%";"40%";"47.5%";"30%";"47.5%";20
"1390";"RUNA2C";"77.5%";"75%";"35%";"37.5%";"35%";15
"1391";"RUNA2C";"15%";"5%";"100%";"7.5%";"100%";41
"1392";"RUNA2C";"77.5%";"75%";"35%";"17.5%";"35%";15
"1393";"RUNA2C";"57.5%";"40%";"67.5%";"42.5%";"67.5%";28
"1394";"RUNA2C";"62.5%";"75%";"0%";"12.5%";"0%";1
"1395";"RUNA2C";"57.5%";"40%";"67.5%";"30%";"67.5%";28
"1396";"RUNA2C";"7.5%";"10%";"62.5%";"2.5%";"62.5%";26
"1397";"RUNA2C";"2.5%";"10%";"35%";"2.5%";"35%";15
"1398";"RUNA2C";"2.5%";"7.5%";"62.5%";"20%";"62.5%";26
"1399";"RUNA2C";"52.5%";"40%";"60%";"30%";"60%";25
"1400";"RUNA2C";"2.5%";"10%";"35%";"12.5%";"35%";15
"1401";"RUNA2C";"70%";"82.5%";"17.5%";"20%";"17.5%";8
"1402";"RUNA2C";"2.5%";"5%";"90%";"30%";"90%";37
"1403";"RUNA2C";"2.5%";"20%";"0%";"12.5%";"0%";1
"1404";"RUNA2C";"15%";"35%";"32.5%";"2.5%";"32.5%";14
"1405";"RUNA2C";"15%";"10%";"90%";"12.5%";"90%";37
"1406";"RUNA2C";"85%";"90%";"15%";"20%";"15%";7
"1407";"RUNA2C";"57.5%";"67.5%";"25%";"17.5%";"25%";11
"1408";"RUNA2C";"57.5%";"67.5%";"25%";"12.5%";"25%";11
"1409";"RUNA2C";"65%";"67.5%";"40%";"25%";"40%";17
"1410";"RUNA2C";"27.5%";"35%";"52.5%";"30%";"52.5%";22
"1411";"RUNA2C";"2.5%";"2.5%";"90%";"17.5%";"90%";37
"1412";"RUNA2C";"27.5%";"57.5%";"0%";"10%";"0%";1
"1413";"RUNA2C";"12.5%";"10%";"90%";"10%";"90%";37
"1414";"RUNA2C";"27.5%";"57.5%";"0%";"10%";"0%";1
"1415";"RUNA2C";"10%";"27.5%";"30%";"12.5%";"30%";13
"1416";"RUNA2C";"7.5%";"10%";"62.5%";"12.5%";"62.5%";26
"1417";"RUNA2C";"27.5%";"27.5%";"70%";"25%";"70%";29
"1418";"RUNA2C";"37.5%";"57.5%";"22.5%";"2.5%";"22.5%";10
"1419";"RUNA2C";"0%";"0%";"95%";"10%";"95%";39
"1420";"RUNA2C";"37.5%";"40%";"40%";"30%";"40%";17
"1421";"RUNA2C";"45%";"10%";"92.5%";"10%";"92.5%";38
"1422";"RUNA2C";"12.5%";"20%";"47.5%";"25%";"47.5%";20
"1423";"RUNA2C";"90%";"82.5%";"60%";"30%";"60%";25
"1424";"RUNA2C";"27.5%";"57.5%";"0%";"12.5%";"0%";1
"1425";"RUNA2C";"90%";"95%";"0%";"12.5%";"0%";1
"1426";"RUNA2C";"77.5%";"75%";"35%";"20%";"35%";15
"1427";"RUNA2C";"10%";"27.5%";"30%";"17.5%";"30%";13
"1428";"RUNA2C";"67.5%";"57.5%";"62.5%";"12.5%";"62.5%";26
"1429";"RUNA2C";"37.5%";"27.5%";"75%";"12.5%";"75%";31
"1430";"RUNA2C";"52.5%";"40%";"60%";"27.5%";"60%";25
"1431";"RUNA2C";"15%";"20%";"65%";"22.5%";"65%";27
"1432";"RUNA2C";"27.5%";"57.5%";"0%";"7.5%";"0%";1
"1433";"RUNA2C";"45%";"57.5%";"25%";"20%";"25%";11
"1434";"RUNA2C";"45%";"40%";"47.5%";"10%";"47.5%";20
"1435";"RUNA2C";"45%";"57.5%";"25%";"10%";"25%";11
"1436";"RUNA2C";"77.5%";"75%";"35%";"15%";"35%";15
"1437";"RUNA2C";"45%";"57.5%";"25%";"15%";"25%";11
"1438";"RUNA2C";"57.5%";"40%";"67.5%";"15%";"67.5%";28
"1439";"RUNA2C";"2.5%";"20%";"0%";"22.5%";"0%";1
"1440";"RUNA2C";"2.5%";"5%";"90%";"27.5%";"90%";37
