"X_BI","X_CAWT","X_FORM","X_HYD","MSP10_SP","MSP12_SP","MSP15_SP","MSP18_SP","MSP19_SP","MSP20_SP","MSP24_SP","MSP33_SP","MSP3_SP","MSP9_SP","Root.Barn","SOWT","Miniacina_miniacea_.R.","Miniacina_sp_.A.","Miniacina_sp_.J.","Parasmittina_margaritata","MSP12_BRYO","MSP14_BRYO","Smittoidea_cautela","Watersipora_subtorquata","Smittipora_harmeriana","Disporella_novaehollandiae","MSP5_BRYO","Crisia_elongata","Tubulipora_sp.","BIOFR","BIOFV","CYANOB","MSP10_ASCC","MSP10_ASCS","MSP11_ASCS","MSP15_ASCC","MSP16_ASCC","MSP1_ASCC","MSP1_ASCS","MSP22_ASCC","MSP24_ASCC","MSP2_ASCC","MSP2_ASCS","MSP3_ASCS","MSP4_ASCC","MSP5_ASCC","MSP5_ASCS","MSP6_ASCC","MSP6_ASCS","MSP8_ASCC","MSP9_ASCC","MSP9_ASCS","NR","OROS","X_BRUP","CCA","GRUP","RDUP"
0,2.222,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.222,0,0,0,0,0,0,2.222,0,0,0,8.889,2.222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.667,6.667,0,28.889,0,0
0,0,0,20.408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.082,0,0,0,0,0,0,0,0,0,0,2.041,14.286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.408,0,0,6.122,0,0
0,2.174,0,2.174,0,0,0,0,0,0,0,0,0,0,0,2.174,0,0,0,0,0,0,0,0,0,4.347,6.522,0,0,4.347,4.347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.696,0,0,0,0,0,34.782,13.043,0,15.218,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.564,0,0,2.564,0,0,0,0,2.564,0,2.564,5.128,0,0,2.564,10.256,0,0,0,0,0,0,0,0,0,0,0,0,0,10.256,0,0,0,0,2.564,0,0,46.154,0,0,12.821,0,0
2.083,4.167,0,22.917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.25,0,0,0,0,0,0,2.083,2.083,2.083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,2.083,0,18.75,0,0
0,0,0,44.898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.163,0,0,0,0,0,0,2.041,0,0,0,4.082,6.122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.49,0,0,8.163,0,0
0,5.715,2.857,11.428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.857,0,5.715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.143,45.713,0,8.571,0,0
0,17.647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.706,2.941,0,0,2.941,0,11.765,0,0,0,0,0,0,0,0,0,0,0,2.941,0,0,0,0,0,0,0,35.294,0,0,8.823,0,0
0,0,0,2.041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.286,0,0,0,2.041,0,0,0,2.041,0,0,6.122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.041,0,0,0,0,0,0,22.449,26.531,0,22.449,0,0
0,0,0,8.333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.333,0,0,0,0,0,0,0,2.083,0,0,2.083,4.167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.083,0,0,0,0,0,0,54.168,0,0,18.75,0,0
0,9.091,0,2.273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.818,0,0,0,0,0,0,0,0,0,0,4.546,2.273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.546,0,0,0,0,0,43.181,11.364,0,15.909,0,0
0,17.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0,5,5,0,0,0,0,0,2.5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,55,0,0,7.5,0,0
0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,2,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,16,16,0,8,0,0
0,2.041,0,10.204,0,0,0,0,0,0,0,0,0,0,2.041,0,0,0,10.204,0,0,0,0,0,0,2.041,0,0,0,8.163,0,0,0,0,0,0,0,0,0,0,4.082,0,0,0,0,0,0,0,0,0,0,0,55.101,2.041,0,4.082,0,0
0,7.143,0,9.523,0,0,0,0,0,0,0,0,0,0,0,2.381,0,0,16.666,0,0,0,0,4.762,0,2.381,0,0,0,7.143,0,2.381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.762,0,0,0,0,0,19.048,14.286,0,9.523,0,0
0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.5,12.5,0,0,0,2.5,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0,2.5,0,0,47.5,0,0,7.5,0,0
0,4.082,0,8.163,0,0,0,0,0,0,0,0,0,0,0,0,2.041,0,18.367,0,0,0,0,0,0,2.041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.041,0,0,0,0,0,6.122,26.531,0,30.612,0,0
2.041,0,0,0,0,0,0,0,0,0,0,0,0,0,6.122,0,0,0,18.367,0,0,0,0,0,0,4.082,0,0,0,8.163,2.041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.062,0,0,6.122,0,0
0,15.556,0,2.222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.222,0,0,0,0,0,0,0,6.667,2.222,0,6.667,2.222,0,0,0,0,0,0,0,0,0,0,0,2.222,0,0,0,0,0,0,0,0,0,33.333,6.667,0,20,0,0
0,2.941,0,5.882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.882,0,0,8.824,2.941,0,0,5.882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.824,0,0,8.824,0,0
0,0,0,18.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.583,0,0,0,0,0,0,0,0,0,0,14.583,2.083,2.083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.917,8.333,0,16.667,0,0
0,0,0,2.083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.167,0,0,0,0,0,0,2.083,0,0,0,6.25,4.167,0,0,12.5,0,0,0,0,0,0,4.167,0,0,0,0,0,0,0,0,0,0,0,52.083,4.167,0,8.333,0,0
2.5,7.5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0,17.5,22.5,0,32.5,0,0
0,8.108,0,10.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.217,0,0,5.405,13.514,0,2.703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.027,0,0,13.514,0,0
0,2.083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.083,0,35.417,0,0,0,0,0,0,2.083,0,0,0,6.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.917,6.25,0,22.917,0,0
2,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,2,0,0,0,8,4,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,36,2,0,20,0,0
0,2.5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,5,0,0,0,2.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0,0,0,0,35,15,0,27.5,0,0
0,13.044,0,4.348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.174,8.696,0,2.174,0,8.696,0,2.174,0,0,0,0,0,0,0,4.348,0,0,0,2.174,0,0,0,0,2.174,0,0,26.086,2.174,0,21.739,0,0
2.041,2.041,0,6.122,0,0,0,0,0,0,0,0,0,0,2.041,0,0,0,18.367,0,0,0,0,0,0,4.082,0,0,0,4.082,0,0,4.082,0,0,0,0,0,0,0,0,0,0,0,0,0,2.041,0,0,0,0,0,26.531,6.122,0,22.449,0,0
0,0,0,10.204,0,0,0,0,0,0,0,0,0,0,4.082,0,2.041,0,10.204,0,0,0,0,0,0,2.041,26.531,0,0,0,6.122,0,0,0,0,0,0,0,0,0,6.122,0,0,0,0,0,0,0,0,0,0,0,18.367,0,0,12.245,0,0
2.632,7.895,0,0,0,0,0,0,0,0,0,0,0,0,2.632,0,0,0,2.632,0,0,0,0,0,0,2.632,0,0,0,2.632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.683,15.79,0,39.473,0,0
2.564,15.385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.564,0,10.256,0,0,0,0,0,0,0,20.513,0,0,5.128,5.128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.769,0,0,7.692,0,0
2,0,0,16,0,0,0,0,0,0,0,0,0,0,2,0,0,0,10,0,0,0,0,0,0,0,0,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,10,0,36,0,0
