"latitude","longitude","abc","station","prefixe","arms_name","arms_number","b_m_t","o_c","plate_number","Orientation","arms_campaign","image_name","arms","immersion_season","recovery_season","imm_time"
-21.10401,55.23598,NA,"CINARMS2","CINA","CINA1B",2,"B","F",1,"U","CINARMS","CINARMS2_1U.jpg","CINA1","imm_hot","rec_cold","6m"
-21.10401,55.23598,NA,"CINARMS2","CINA","CINA1B",2,"B","F",2,"D","CINARMS","CINARMS2_2D.jpg","CINA1","imm_hot","rec_cold","6m"
-21.10401,55.23598,NA,"CINARMS2","CINA","CINA1B",2,"B","O",2,"U","CINARMS","CINARMS2_2U.jpg","CINA1","imm_hot","rec_cold","6m"
-21.10401,55.23598,NA,"CINARMS2","CINA","CINA1B",2,"B","O",3,"D","CINARMS","CINARMS2_3D.jpg","CINA1","imm_hot","rec_cold","6m"
-21.10401,55.23598,NA,"CINARMS2","CINA","CINA1B",2,"M","F",3,"U","CINARMS","CINARMS2_3U.jpg","CINA1","imm_hot","rec_cold","6m"
-21.10401,55.23598,NA,"CINARMS2","CINA","CINA1B",2,"M","F",4,"D","CINARMS","CINARMS2_4D.jpg","CINA1","imm_hot","rec_cold","6m"
-21.10401,55.23598,NA,"CINARMS2","CINA","CINA1B",2,"M","O",4,"U","CINARMS","CINARMS2_4U.jpg","CINA1","imm_hot","rec_cold","6m"
-21.10401,55.23598,NA,"CINARMS2","CINA","CINA1B",2,"M","O",5,"D","CINARMS","CINARMS2_5D.jpg","CINA1","imm_hot","rec_cold","6m"
-21.10401,55.23598,NA,"CINARMS2","CINA","CINA1B",2,"M","F",5,"U","CINARMS","CINARMS2_5U.jpg","CINA1","imm_hot","rec_cold","6m"
-21.10401,55.23598,NA,"CINARMS2","CINA","CINA1B",2,"M","F",6,"D","CINARMS","CINARMS2_6D.jpg","CINA1","imm_hot","rec_cold","6m"
-21.10401,55.23598,NA,"CINARMS2","CINA","CINA1B",2,"M","O",6,"U","CINARMS","CINARMS2_6U.jpg","CINA1","imm_hot","rec_cold","6m"
-21.10401,55.23598,NA,"CINARMS2","CINA","CINA1B",2,"M","O",7,"D","CINARMS","CINARMS2_7D.jpg","CINA1","imm_hot","rec_cold","6m"
-21.10401,55.23598,NA,"CINARMS2","CINA","CINA1B",2,"H","F",7,"U","CINARMS","CINARMS2_7U.jpg","CINA1","imm_hot","rec_cold","6m"
-21.10401,55.23598,NA,"CINARMS2","CINA","CINA1B",2,"H","F",8,"D","CINARMS","CINARMS2_8D.jpg","CINA1","imm_hot","rec_cold","6m"
-21.10401,55.23598,NA,"CINARMS2","CINA","CINA1B",2,"H","O",8,"U","CINARMS","CINARMS2_8U.jpg","CINA1","imm_hot","rec_cold","6m"
-21.10401,55.23598,NA,"CINARMS2","CINA","CINA1B",2,"H","O",9,"D","CINARMS","CINARMS2_9D.jpg","CINA1","imm_hot","rec_cold","6m"
-21.10401,55.23598,NA,"CINARMS3","CINA","CINA1C",3,"B","F",1,"U","CINARMS","CINARMS3_1U.jpg","CINA1","imm_hot","rec_cold","6m"
